sku,upc,plu,vendor,product_name,description,unit_of_measure,category
WAL-0001,480173047018,1001,Walmart,Wagwave Smart Pet Feeder,"The WagWave Smart Pet Feeder is an innovative solution for pet owners to manage their pet's feeding schedule with ease. Designed to accommodate both dry and wet food, this feeder features customizable portion controls and a built-in Wi-Fi system that connects to an app on your smartphone. Receive notifications when your pet has been fed or when food levels are low. The sleek, modern design fits seamlessly into any home decor while ensuring your pet receives their meals when they need them, even when you're not home. Perfect for busy pet parents looking for a convenient and reliable feeding solution.",EACH,Pet Supplies
WAL-0002,430810245648,1002,Walmart,Artisan Sunflower Seed Sourdough Loaf,"Experience a rustic twist on a classic favorite with our Artisan Sunflower Seed Sourdough Loaf. Made with authentic sourdough starter and speckled with crunchy, nutty sunflower seeds, this hand-crafted loaf offers a perfect balance of tangy flavor and hearty texture. Whether toasted for breakfast or served alongside dinner, this loaf brings artisan quality to your table, available exclusively at Walmart's bakery section.",PACK,Bakery
WAL-0003,937979923443,1003,Walmart,Ecostride Recycled Sneakers,"Step into sustainability with the EcoStride Recycled Sneakers, exclusively at Walmart. Crafted from 100% recycled materials, these lightweight sneakers provide comfort and durability for every adventure. Featuring a breathable mesh upper, cushioned insoles, and non-slip soles, EcoStride ensures style meets responsibility. Perfect for eco-conscious consumers who want to make a difference one step at a time.",EACH,Footwear
WAL-0004,773337401237,1004,Walmart,Ecofresh All-Natural Multi-Surface Cleaner,"EcoFresh All-Natural Multi-Surface Cleaner is Walmart's latest eco-friendly cleaning solution designed to tackle dirt and grime on all surfaces with ease. Infused with a refreshing citrus scent, this biodegradable formula is made from plant-based ingredients, ensuring no harsh chemicals are left behind. Safe for use on countertops, floors, and appliances, EcoFresh provides a powerful clean while being gentle on the environment. Perfect for conscientious consumers looking to maintain a sparkling home without compromising sustainability.",BOX,Cleaning Supplies
WAL-0005,236896364137,1005,Walmart,Ecofresh Multi-Surface Cleaning Pods,"Introducing EcoFresh Multi-Surface Cleaning Pods, exclusively at Walmart. These innovative pods are designed for busy households seeking an eco-friendly solution to everyday cleaning. Each pod is packed with powerful plant-based ingredients, ensuring a thorough clean without harsh chemicals. Simply drop a pod into a spray bottle with water, shake, and you're ready to tackle any surface: kitchen counters, bathroom tiles, or hardwood floors. Safe for pets and children, EcoFresh Pods leave no residue and feature a refreshing citrus scent. Revolutionize your cleaning routine and contribute to a greener planet with EcoFresh.",BOX,Cleaning Supplies
WAL-0006,316992247612,1006,Walmart,Pawsitive Comfort Heated Pet Bed,"The Pawsitive Comfort Heated Pet Bed offers ultimate coziness for your furry friends. Designed to gently warm your pet during chilly nights, this bed features an adjustable temperature setting and a soft, plush surface, ensuring maximum comfort. Its eco-friendly materials and machine-washable cover make it a convenient and sustainable choice for pet owners. Ideal for cats and small dogs, this bed provides a soothing sanctuary for pets to relax and sleep soundly.",LITER,Pet Supplies
WAL-0007,757604375179,1007,Walmart,Ecostride Comfort Sneakers,"EcoStride Comfort Sneakers offer a blend of style, sustainability, and comfort. Exclusively available at Walmart, these sneakers are crafted from recycled materials, featuring a breathable fabric and cushioned soles for all-day wear. Perfect for the eco-conscious consumer looking for versatility in their footwear collection, EcoStride Comfort Sneakers are designed to support you whether you're running errands or engaging in light outdoor activities.",PACK,Footwear
WAL-0008,138293243406,1008,Walmart,Sriracha Maple Fusion,"Experience the perfect blend of spicy and sweet with Walmart's exclusive Sriracha Maple Fusion condiment. Crafted from premium organic maple syrup and fiery Sriracha, this unique sauce adds a bold twist to your favorite dishes. Perfect for drizzling on breakfast classics, glazing meats, or spicing up your favorite snacks. Elevate your culinary creations with this versatile and delicious fusion.",PACK,Condiments
WAL-0009,541797975159,1009,Walmart,Ecostride Recyclable Sneakers,"EcoStride Recyclable Sneakers are designed for the environmentally conscious consumer, featuring a sleek, modern design made entirely from recycled materials. These lightweight sneakers offer comfort and durability for everyday wear. With breathable fabric and a cushioned sole, they provide excellent support for active lifestyles. Available exclusively at Walmart, these sneakers not only help reduce your carbon footprint but also keep you stylish and comfortable.",PACK,Footwear
WAL-0010,683251191122,1010,Walmart,Ecofresh Bamboo Charcoal Toothbrush,"Experience unparalleled oral hygiene with our EcoFresh Bamboo Charcoal Toothbrush, exclusively at Walmart. Crafted from sustainable bamboo and infused with activated charcoal, this toothbrush naturally whitens teeth, reduces plaque, and fights bad breath. Its soft bristles are gentle on gums, making it perfect for all ages. Embrace an eco-friendly dental routine that combines innovation with environmental responsibility.",PACK,Personal Care
